    Soil Type,Water Availability,Area Size,Season,Temperature,Rainfall,Crop Cycle,Crop Recommendation,Yield Prediction,Fertilizer Recommendation,Pesticide Recommendation
Sandy,low,420,summer,30,high,short term,Potato,5.6,Nitrogen-rich fertilizer,Organic pesticide
Silty,medium,480,monsoon,21,medium,medium term,Maize,4.5,Potassium-rich fertilizer,Pyrethrin-based pesticide
Peaty,high,490,winter,15,low,long term,Rice,5.8,Nitrogen-rich fertilizer,Organic pesticide
Loamy,low,220,spring,23,high,short term,Barley,4.2,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,medium,350,summer,31,medium,medium term,Oats,4.9,Nitrogen-rich fertilizer,Organic pesticide
Sandy,high,580,monsoon,22,low,long term,Potato,5.3,Potassium-rich fertilizer,Pyrethrin-based pesticide
Silty,low,410,winter,24,high,short term,Maize,5.2,Nitrogen-rich fertilizer,Organic pesticide
Peaty,medium,440,spring,16,medium,medium term,Rice,4.8,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,500,summer,26,low,long term,Barley,5,Potassium-rich fertilizer,Pyrethrin-based pesticide
Clay,low,420,monsoon,32,medium,short term,Oats,5.5,Nitrogen-rich fertilizer,Organic pesticide
Sandy,medium,560,winter,18,high,medium term,Potato,5.1,Potassium-rich fertilizer,Pyrethrin-based pesticide
Silty,high,510,spring,20,low,long term,Maize,4.6,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,low,360,summer,28,medium,short term,Rice,5.4,Nitrogen-rich fertilizer,Organic pesticide
Loamy,medium,440,monsoon,25,high,medium term,Barley,4.4,Potassium-rich fertilizer,Pyrethrin-based pesticide
Clay,high,490,winter,29,low,long term,Oats,5.7,Phosphorus-rich fertilizer,Copper-based pesticide
Sandy,low,400,spring,27,medium,short term,Potato,5,Nitrogen-rich fertilizer,Organic pesticide
Silty,medium,480,summer,19,high,medium term,Maize,4.7,Potassium-rich fertilizer,Pyrethrin-based pesticide
Peaty,high,430,monsoon,23,low,long term,Rice,5.9,Nitrogen-rich fertilizer,Organic pesticide
Loamy,low,320,winter,30,medium,short term,Barley,4.5,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,medium,460,spring,24,high,medium term,Oats,5.3,Potassium-rich fertilizer,Pyrethrin-based pesticide
Sandy,high,520,summer,21,low,long term,Potato,5.2,Nitrogen-rich fertilizer,Organic pesticide
Silty,low,450,monsoon,28,medium,short term,Maize,5.6,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,medium,480,winter,17,high,medium term,Rice,5,Potassium-rich fertilizer,Pyrethrin-based pesticide
Loamy,high,490,spring,26,low,long term,Barley,4.8,Nitrogen-rich fertilizer,Organic pesticide
Clay,low,440,summer,33,medium,medium term,Oats,5.4,Phosphorus-rich fertilizer,Copper-based pesticide
Sandy,medium,540,monsoon,20,high,short term,Potato,5.5,Potassium-rich fertilizer,Pyrethrin-based pesticide
Silty,high,470,winter,22,low,long term,Maize,5.1,Nitrogen-rich fertilizer,Organic pesticide
Peaty,low,460,spring,25,medium,medium term,Rice,4.9,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,medium,500,summer,20,medium,short term,Wheat,4.8,Potassium-rich fertilizer,Pyrethrin-based pesticide
Clay,high,410,monsoon,29,low,long term,Sugarcane,5.8,Nitrogen-rich fertilizer,Organic pesticide
Loamy,low,550,spring,31,high,medium term,Rye,5.1,Phosphorus-rich fertilizer,Copper-based pesticide
Sandy,medium,580,winter,18,medium,short term,Oats,5.3,Potassium-rich fertilizer,Pyrethrin-based pesticide
